매입사,고객ID,카드유형,거래일,거래시간,승인금액,할부,인원
비씨카드,C-05422,체크,2013-01-01,18:33:10,"29,800",0,2
비씨카드,C-35946,일반,2013-01-01,18:41:23,"53,500",0,4
삼성카드,C-02545,일반,2013-01-01,18:44:08,"41,600",0,3
국민카드,C-41143,일반,2013-01-01,18:45:03,"59,600",0,4
비씨카드,C-15114,일반,2013-01-01,18:46:19,"29,800",0,2
비씨카드,C-30016,체크,2013-01-01,18:47:07,"29,800",0,2
비씨카드,C-15776,일반,2013-01-01,18:49:13,"29,800",0,2
국민카드,C-25697,일반,2013-01-01,18:51:55,"38,700",0,3
외환카드,C-10483,체크,2013-01-01,18:57:11,"29,800",0,2
국민카드,C-36413,체크,2013-01-01,18:57:40,"29,800",0,2
현대카드,C-07239,일반,2013-01-01,18:58:49,"29,800",0,2
농협카드,C-33900,일반,2013-01-01,19:06:05,"29,800",0,2
외환카드,C-16499,체크,2013-01-01,19:15:46,"29,800",0,2
비씨카드,C-03636,일반,2013-01-01,19:17:57,"166,800",0,12
신한카드,C-07804,체크,2013-01-01,19:30:07,"29,800",0,2
롯데카드,C-13078,일반,2013-01-01,19:30:31,"29,800",0,2
농협카드,C-40471,체크,2013-01-01,19:43:43,"29,800",0,2
비씨카드,C-30654,일반,2013-01-01,19:52:00,"29,800",0,2
비씨카드,C-21564,일반,2013-01-01,19:52:29,"35,700",0,3
비씨카드,C-38249,체크,2013-01-01,20:00:43,"29,800",0,2
현대카드,C-43355,일반,2013-01-01,20:01:19,"35,700",0,3
신한카드,C-33640,일반,2013-01-01,20:10:28,"29,800",0,2
국민카드,C-15914,체크,2013-01-01,20:19:26,"29,800",0,2
신한카드,C-33591,일반,2013-01-01,20:26:02,"29,800",0,2
농협카드,C-34105,일반,2013-01-01,20:37:09,"29,800",0,2
비씨카드,C-28992,체크,2013-01-01,20:43:51,"59,600",0,4
비씨카드,C-04058,일반,2013-01-01,20:52:36,"38,700",0,3
신한카드,C-09448,일반,2013-01-01,20:55:32,"29,800",0,2
롯데카드,C-13012,일반,2013-01-01,21:01:53,"35,700",0,3
비씨카드,C-38453,체크,2013-01-01,21:06:29,"59,600",0,4
신한카드,C-26816,체크,2013-01-01,21:13:58,"14,900",0,1
신한카드,C-16697,체크,2013-01-01,21:14:18,"14,900",0,1
신한카드,C-26807,체크,2013-01-01,21:14:48,"44,700",0,3
비씨카드,C-29657,체크,2013-01-01,21:38:35,"14,900",0,1
비씨카드,C-38067,체크,2013-01-01,21:39:01,"14,900",0,1
비씨카드,C-40552,체크,2013-01-01,21:39:28,"14,900",0,1
비씨카드,C-05014,일반,2013-01-02,12:39:19,"35,700",0,3
외환카드,C-23036,일반,2013-01-02,13:05:13,"35,700",0,3
국민카드,C-41240,일반,2013-01-02,13:05:50,"23,800",0,2
국민카드,C-16071,체크,2013-01-02,13:12:31,"23,800",0,2
비씨카드,C-39113,체크,2013-01-02,13:21:17,"23,800",0,2
국민카드,C-36436,체크,2013-01-02,14:00:35,"23,800",0,2
국민카드,C-16140,체크,2013-01-02,14:12:00,"23,800",0,2
현대카드,C-43506,일반,2013-01-02,14:18:13,"23,800",0,2
국민카드,C-16159,체크,2013-01-02,14:49:20,"23,800",0,2
국민카드,C-11390,일반,2013-01-02,17:41:48,"14,900",0,2
신한카드,C-07784,체크,2013-01-02,18:25:19,"29,800",0,3
삼성카드,C-03829,일반,2013-01-02,18:31:11,"29,800",0,3
신한카드,C-26980,체크,2013-01-02,19:10:32,"29,800",0,3
비씨카드,C-28670,체크,2013-01-02,19:13:42,"14,900",0,2
신한카드,C-16598,체크,2013-01-02,19:14:02,"14,900",0,2
비씨카드,C-21800,일반,2013-01-02,19:14:27,"29,800",0,3
비씨카드,C-40879,체크,2013-01-02,19:18:36,"29,800",0,3
비씨카드,C-15186,일반,2013-01-02,19:41:29,"44,700",0,4
비씨카드,C-28786,체크,2013-01-02,19:51:19,"29,800",0,3
비씨카드,C-37145,체크,2013-01-02,20:16:29,"29,800",0,3
비씨카드,C-37362,체크,2013-01-02,20:19:39,"29,800",0,3
신한카드,C-26373,체크,2013-01-02,20:20:01,"29,800",0,3
국민카드,C-15822,체크,2013-01-02,20:24:41,"29,800",0,3
국민카드,C-42404,일반,2013-01-02,21:55:37,"29,800",0,3
국민카드,C-16177,체크,2013-01-03,12:38:02,"23,800",0,2
국민카드,C-11172,일반,2013-01-03,12:40:42,"35,700",0,3
비씨카드,C-40739,체크,2013-01-03,12:45:35,"35,700",0,3
국민카드,C-15856,체크,2013-01-03,12:57:26,"35,700",0,3
비씨카드,C-40996,체크,2013-01-03,13:00:11,"23,800",0,2
롯데카드,C-14463,일반,2013-01-03,13:15:58,"11,900",0,1
외환카드,C-10543,일반,2013-01-03,13:21:27,"23,800",0,2
비씨카드,C-06679,체크,2013-01-03,13:47:02,"23,800",0,2
비씨카드,C-35387,일반,2013-01-03,14:21:34,"23,800",0,2
비씨카드,C-26099,체크,2013-01-03,14:31:05,"23,800",0,2
국민카드,C-25673,일반,2013-01-03,14:37:01,"23,800",0,2
롯데카드,C-14411,일반,2013-01-03,15:17:22,"23,800",0,2
비씨카드,C-15069,체크,2013-01-03,15:19:38,"23,800",0,2
외환카드,C-10489,체크,2013-01-03,15:43:47,"47,600",0,4
신한카드,C-18426,일반,2013-01-03,18:24:56,"59,600",0,6
신한카드,C-26189,체크,2013-01-03,18:27:20,"29,800",0,3
삼성카드,C-33769,일반,2013-01-03,19:12:25,"29,800",0,3
비씨카드,C-25448,일반,2013-01-03,19:22:59,"44,700",0,4
롯데카드,C-12859,일반,2013-01-03,19:36:28,"29,800",0,3
비씨카드,C-15215,일반,2013-01-03,19:54:35,"29,800",0,3
현대카드,C-11990,일반,2013-01-03,20:02:57,"29,800",0,3
국민카드,C-16240,체크,2013-01-03,20:16:29,"29,800",0,3
국민카드,C-16174,체크,2013-01-03,20:30:03,"29,800",0,3
신한카드,C-09408,일반,2013-01-03,20:41:19,"29,800",0,3
외환카드,C-19593,일반,2013-01-03,21:18:17,"44,700",0,4
국민카드,C-16154,체크,2013-01-03,21:35:26,"29,800",0,3
롯데카드,C-12676,일반,2013-01-03,21:56:42,"29,800",0,3
비씨카드,C-38274,체크,2013-01-03,22:03:05,"44,700",0,4
삼성카드,C-01993,일반,2013-01-04,12:02:26,"11,900",0,1
국민카드,C-22740,일반,2013-01-04,12:12:16,"11,900",0,1
신한카드,C-26912,체크,2013-01-04,12:12:39,"11,900",0,1
신한카드,C-26216,체크,2013-01-04,12:21:41,"71,400",0,6
신한카드,C-09979,일반,2013-01-04,12:37:36,"59,500",0,5
신한카드,C-09765,일반,2013-01-04,12:50:27,"23,800",0,2
국민카드,C-22285,일반,2013-01-04,12:53:46,"35,700",0,3
농협카드,C-34159,일반,2013-01-04,13:09:11,"59,500",0,5
비씨카드,C-04990,일반,2013-01-04,13:09:37,"23,800",0,2
국민카드,C-01538,일반,2013-01-04,13:18:38,"47,600",0,4
국민카드,C-25600,일반,2013-01-04,13:24:06,"35,700",0,3
외환카드,C-07747,일반,2013-01-04,13:33:30,"181,400",0,16
현대카드,C-42725,일반,2013-01-04,13:39:23,"23,800",0,2
외환카드,C-04626,일반,2013-01-04,14:15:20,"23,800",0,2
삼성카드,C-20518,일반,2013-01-04,14:17:23,"11,900",0,1
국민카드,C-25271,일반,2013-01-04,14:38:24,"35,600",0,3
국민카드,C-18863,일반,2013-01-04,14:44:04,"11,900",0,1
신한카드,C-12041,일반,2013-01-04,14:53:01,"35,700",0,3
외환카드,C-04632,일반,2013-01-04,14:57:34,"43,700",0,4
신한카드,C-26801,체크,2013-01-04,15:06:09,"39,700",0,4
비씨카드,C-29599,체크,2013-01-04,15:28:59,"23,800",0,2
비씨카드,C-15333,일반,2013-01-04,15:39:02,"35,700",0,3
신한카드,C-26718,체크,2013-01-04,15:43:10,"23,800",0,2
농협카드,C-39676,체크,2013-01-04,16:02:18,"23,800",0,2
국민카드,C-22443,일반,2013-01-04,16:52:00,"23,800",0,2
신한카드,C-26979,체크,2013-01-04,17:04:42,"23,800",0,2
국민카드,C-15958,체크,2013-01-04,18:56:05,"44,700",0,4
비씨카드,C-37187,체크,2013-01-04,19:03:52,"29,800",0,3
신한카드,C-10036,일반,2013-01-04,19:09:55,"44,700",0,4
신한카드,C-08297,체크,2013-01-04,19:26:52,"52,700",0,5
국민카드,C-16218,체크,2013-01-04,19:33:13,"104,300",0,9
국민카드,C-06570,일반,2013-01-04,19:43:42,"39,800",0,4
비씨카드,C-30151,체크,2013-01-04,20:09:44,"29,800",0,3
국민카드,C-41381,일반,2013-01-04,20:14:17,"59,600",0,6
국민카드,C-22356,일반,2013-01-04,20:39:53,"14,900",0,2
신한카드,C-10008,일반,2013-01-04,20:45:37,"29,800",0,3
비씨카드,C-15036,체크,2013-01-04,20:48:41,"44,700",0,4
현대카드,C-43569,일반,2013-01-04,21:04:24,"83,300",0,7
비씨카드,C-37032,체크,2013-01-04,21:15:37,"44,700",0,4
비씨카드,C-30887,체크,2013-01-04,21:35:51,"29,800",0,3
신한카드,C-33421,일반,2013-01-04,21:39:34,"29,800",0,3
신한카드,C-00270,일반,2013-01-04,21:40:04,"47,600",0,4
농협카드,C-34201,일반,2013-01-04,21:41:55,"35,700",0,3
외환카드,C-19720,일반,2013-01-04,21:46:30,"29,800",0,3
비씨카드,C-28213,체크,2013-01-04,21:51:35,"29,800",0,3
국민카드,C-33237,일반,2013-01-04,22:06:08,"14,900",0,2
농협카드,C-14245,체크,2013-01-04,22:08:06,"104,300",0,9
롯데카드,C-13225,일반,2013-01-04,22:15:42,"44,700",0,4
국민카드,C-10866,일반,2013-01-04,22:16:10,"37,800",0,4
농협카드,C-27202,체크,2013-01-05,13:36:05,"14,900",0,1
농협카드,C-39174,체크,2013-01-05,13:36:22,"14,900",0,1
비씨카드,C-25495,일반,2013-01-05,13:48:12,"29,800",0,2
농협카드,C-39912,체크,2013-01-05,13:56:06,"44,700",0,3
국민카드,C-42330,일반,2013-01-05,13:56:40,"29,800",0,2
신한카드,C-26903,체크,2013-01-05,14:01:59,"29,800",0,2
외환카드,C-31916,일반,2013-01-05,14:06:22,"23,800",0,2
비씨카드,C-36788,체크,2013-01-05,14:08:27,"29,800",0,2
비씨카드,C-30104,체크,2013-01-05,14:21:59,"29,800",0,2
현대카드,C-07361,일반,2013-01-05,14:28:08,"29,800",0,2
비씨카드,C-26015,체크,2013-01-05,14:32:49,"29,800",0,2
롯데카드,C-18524,일반,2013-01-05,14:41:22,"32,700",0,3
국민카드,C-22655,일반,2013-01-05,14:50:00,"29,800",0,2
신한카드,C-00399,일반,2013-01-05,14:51:06,"35,700",0,3
비씨카드,C-35305,일반,2013-01-05,14:52:53,"29,800",0,2
비씨카드,C-40824,체크,2013-01-05,15:04:16,"29,800",0,2
국민카드,C-16117,체크,2013-01-05,15:07:24,"29,800",0,2
국민카드,C-41800,일반,2013-01-05,15:08:18,"14,800",0,1
국민카드,C-22740,일반,2013-01-05,15:17:31,"50,600",0,4
비씨카드,C-37804,체크,2013-01-05,15:33:07,"14,900",0,1
국민카드,C-15956,체크,2013-01-05,15:33:22,"14,900",0,1
신한카드,C-09945,일반,2013-01-05,15:43:14,"29,800",0,2
비씨카드,C-08792,체크,2013-01-05,16:10:56,"29,800",0,2
비씨카드,C-37169,체크,2013-01-05,16:20:10,"29,800",0,2
농협카드,C-39197,체크,2013-01-05,16:23:54,"44,700",0,3
신한카드,C-34624,체크,2013-01-05,16:28:23,"29,800",0,2
비씨카드,C-10154,일반,2013-01-05,16:31:04,"44,700",0,3
신한카드,C-18431,일반,2013-01-05,16:57:55,"29,800",0,2
비씨카드,C-05029,일반,2013-01-05,17:13:28,"79,500",0,6
농협카드,C-27407,체크,2013-01-05,17:30:24,"29,800",0,2
국민카드,C-41539,일반,2013-01-05,17:38:55,"29,800",0,2
농협카드,C-27489,체크,2013-01-05,17:43:45,"59,600",0,4
삼성카드,C-02514,일반,2013-01-05,17:44:31,"44,700",0,3
롯데카드,C-12683,일반,2013-01-05,17:45:26,"29,800",0,2
신한카드,C-01280,일반,2013-01-05,17:56:43,"29,800",0,2
국민카드,C-25319,일반,2013-01-05,17:57:03,"44,700",0,3
롯데카드,C-12949,일반,2013-01-05,18:11:29,"53,600",0,4
비씨카드,C-37228,체크,2013-01-05,18:45:14,"29,800",0,2
국민카드,C-15870,체크,2013-01-05,18:46:02,"29,800",0,2
신한카드,C-09006,일반,2013-01-05,18:50:13,"29,800",0,2
신한카드,C-09900,일반,2013-01-05,18:50:56,"29,800",0,2
신한카드,C-09008,일반,2013-01-05,19:00:36,"68,500",0,5
현대카드,C-07206,일반,2013-01-05,19:05:56,"29,800",0,2
국민카드,C-22513,일반,2013-01-05,19:09:43,"29,800",0,2
외환카드,C-19199,체크,2013-01-05,19:19:15,"29,800",0,2
신한카드,C-16531,체크,2013-01-05,19:20:33,"23,800",0,2
국민카드,C-16095,체크,2013-01-05,19:23:46,"29,800",0,2
국민카드,C-36394,체크,2013-01-05,19:25:32,"29,800",0,2
신한카드,C-09754,일반,2013-01-05,19:26:40,"29,800",0,2
외환카드,C-04401,일반,2013-01-05,19:30:24,"29,800",0,2
국민카드,C-42147,일반,2013-01-05,19:38:46,"29,800",0,2
현대카드,C-01544,일반,2013-01-05,19:39:07,"29,800",0,2
현대카드,C-43633,체크,2013-01-05,19:45:14,"29,800",0,2
국민카드,C-16090,체크,2013-01-05,19:47:41,"29,800",0,2
비씨카드,C-05780,체크,2013-01-05,19:52:58,"14,900",0,1
국민카드,C-25682,일반,2013-01-05,19:57:20,"122,200",0,9
외환카드,C-10670,일반,2013-01-05,20:09:35,"14,800",0,1
비씨카드,C-21616,일반,2013-01-05,20:14:32,"312,900",3,21
신한카드,C-17820,체크,2013-01-05,20:18:08,"29,800",0,2
비씨카드,C-36089,일반,2013-01-05,20:19:24,"44,700",0,3
현대카드,C-07146,일반,2013-01-05,20:20:15,"71,400",0,5
현대카드,C-25033,일반,2013-01-05,20:27:25,"74,400",0,5
비씨카드,C-29236,체크,2013-01-05,20:30:29,"29,800",0,2
신한카드,C-08298,체크,2013-01-05,20:31:42,"29,800",0,2
국민카드,C-07588,일반,2013-01-05,20:40:43,"53,600",0,4
삼성카드,C-33054,일반,2013-01-05,20:41:57,"29,800",0,2
국민카드,C-16136,체크,2013-01-05,20:42:21,"29,800",0,2
비씨카드,C-36201,일반,2013-01-05,20:46:40,"44,700",0,3
삼성카드,C-02884,일반,2013-01-05,20:48:28,"29,800",0,2
외환카드,C-10596,일반,2013-01-05,20:52:13,"29,800",0,2
신한카드,C-09953,일반,2013-01-05,20:55:49,"29,800",0,2
비씨카드,C-38319,체크,2013-01-05,21:00:38,"29,800",0,2
외환카드,C-11704,일반,2013-01-05,21:03:07,"59,600",0,4
신한카드,C-01424,일반,2013-01-05,21:04:58,"29,800",0,2
삼성카드,C-02681,일반,2013-01-05,21:05:54,"29,800",0,2
롯데카드,C-13187,일반,2013-01-05,21:15:34,"29,800",0,2
국민카드,C-15968,체크,2013-01-05,21:18:23,"59,600",0,4
현대카드,C-43299,일반,2013-01-05,21:27:46,"44,700",0,3
신한카드,C-26485,체크,2013-01-05,21:29:50,"29,600",0,2
국민카드,C-16047,체크,2013-01-05,21:30:04,"30,000",0,3
외환카드,C-07747,일반,2013-01-05,21:46:24,"74,500",0,5
농협카드,C-27614,체크,2013-01-06,12:29:39,"29,800",0,2
농협카드,C-23732,일반,2013-01-06,13:39:39,"29,800",0,2
국민카드,C-18901,일반,2013-01-06,13:40:04,"29,800",0,2
신한카드,C-00767,일반,2013-01-06,13:46:13,"29,800",0,2
국민카드,C-16011,체크,2013-01-06,14:00:33,"29,800",0,2
비씨카드,C-14513,일반,2013-01-06,14:31:45,"29,800",0,2
신한카드,C-08499,체크,2013-01-06,14:32:17,"29,800",0,2
국민카드,C-22872,일반,2013-01-06,14:33:39,"29,800",0,2
비씨카드,C-37393,체크,2013-01-06,14:38:25,"29,800",0,2
삼성카드,C-02318,일반,2013-01-06,14:52:50,"59,600",0,4
국민카드,C-16155,체크,2013-01-06,15:04:39,"104,300",0,7
비씨카드,C-03996,일반,2013-01-06,15:07:44,"29,800",0,2
신한카드,C-00517,일반,2013-01-06,15:32:03,"53,600",0,4
신한카드,C-26488,체크,2013-01-06,15:46:06,"29,800",0,2
비씨카드,C-24666,일반,2013-01-06,15:47:25,"38,700",0,3
비씨카드,C-36685,체크,2013-01-06,15:55:53,"29,800",0,2
외환카드,C-35148,일반,2013-01-06,16:08:14,"59,600",0,4
신한카드,C-27077,체크,2013-01-06,16:10:26,"44,700",0,3
비씨카드,C-28799,체크,2013-01-06,16:53:45,"29,800",0,2
현대카드,C-03078,일반,2013-01-06,17:00:47,"47,600",0,4
신한카드,C-26885,체크,2013-01-06,17:30:15,"29,800",0,2
국민카드,C-25348,일반,2013-01-06,17:36:32,"116,100",0,8
신한카드,C-17327,체크,2013-01-06,17:36:53,"44,700",0,3
롯데카드,C-12637,일반,2013-01-06,17:37:26,"29,800",0,2
비씨카드,C-35549,일반,2013-01-06,17:47:34,"29,800",0,2
신한카드,C-01189,일반,2013-01-06,17:57:10,"44,700",0,3
외환카드,C-23125,일반,2013-01-06,18:03:42,"29,800",0,2
비씨카드,C-28991,체크,2013-01-06,18:13:17,"64,600",0,5
국민카드,C-16110,체크,2013-01-06,18:25:59,"29,800",0,2
국민카드,C-15863,체크,2013-01-06,18:27:17,"29,800",0,2
국민카드,C-16045,체크,2013-01-06,18:36:49,"14,900",0,1
농협카드,C-40425,체크,2013-01-06,18:37:06,"14,900",0,1
비씨카드,C-19530,일반,2013-01-06,18:42:58,"14,900",0,1
신한카드,C-00141,일반,2013-01-06,18:43:13,"14,900",0,1
국민카드,C-16097,체크,2013-01-06,18:46:50,"29,800",0,2
신한카드,C-09498,일반,2013-01-06,18:48:26,"29,800",0,2
신한카드,C-00020,일반,2013-01-06,18:49:45,"44,700",0,3
롯데카드,C-12668,일반,2013-01-06,18:54:36,"29,800",0,2
신한카드,C-17657,체크,2013-01-06,19:03:54,"14,900",0,1
신한카드,C-00399,일반,2013-01-06,19:26:17,"44,700",0,3
신한카드,C-33498,일반,2013-01-06,19:35:35,"29,800",0,2
비씨카드,C-40828,체크,2013-01-06,19:37:07,"29,800",0,2
롯데카드,C-12699,일반,2013-01-06,19:38:54,"29,800",0,2
비씨카드,C-40874,체크,2013-01-06,19:58:08,"29,800",0,2
삼성카드,C-20562,일반,2013-01-06,19:59:20,"29,800",0,2
삼성카드,C-20577,일반,2013-01-06,20:03:14,"14,900",0,1
국민카드,C-15823,체크,2013-01-06,20:04:11,"29,800",0,2
현대카드,C-07508,일반,2013-01-06,20:05:05,"29,800",0,2
비씨카드,C-30804,일반,2013-01-06,20:07:23,"29,800",0,2
현대카드,C-06888,일반,2013-01-06,20:09:37,"44,700",0,3
신한카드,C-12098,일반,2013-01-06,20:12:20,"29,800",0,2
농협카드,C-39424,체크,2013-01-06,20:40:51,"29,800",0,2
신한카드,C-26883,체크,2013-01-06,20:48:16,"29,800",0,2
비씨카드,C-06045,체크,2013-01-06,20:56:31,"29,800",0,2
비씨카드,C-05520,체크,2013-01-06,20:58:38,"29,800",0,2
비씨카드,C-29485,체크,2013-01-06,21:09:34,"29,800",0,2
삼성카드,C-20254,일반,2013-01-06,21:10:45,"14,900",0,1
농협카드,C-27440,체크,2013-01-06,21:10:58,"14,900",0,1
비씨카드,C-26054,체크,2013-01-06,21:27:01,"53,600",0,4
삼성카드,C-02606,일반,2013-01-06,21:29:07,"14,900",0,1
비씨카드,C-05903,체크,2013-01-06,21:29:21,"14,900",0,1
국민카드,C-15912,체크,2013-01-06,21:43:05,"29,800",0,2
롯데카드,C-01780,일반,2013-01-06,21:45:24,"44,700",0,3
비씨카드,C-30388,체크,2013-01-06,21:58:25,"14,900",0,1
외환카드,C-18949,체크,2013-01-07,12:19:24,"23,800",0,2
외환카드,C-35139,일반,2013-01-07,12:52:37,"59,500",0,5
국민카드,C-11397,일반,2013-01-07,13:02:59,"127,900",0,11
국민카드,C-42028,일반,2013-01-07,13:12:46,"23,800",0,2
신한카드,C-33673,일반,2013-01-07,13:18:53,"23,800",0,2
국민카드,C-15932,체크,2013-01-07,13:26:30,"23,800",0,2
국민카드,C-16138,체크,2013-01-07,13:35:41,"11,900",0,1
삼성카드,C-02796,일반,2013-01-07,13:36:00,"11,900",0,1
농협카드,C-34013,일반,2013-01-07,13:42:32,"23,800",0,2
신한카드,C-33372,일반,2013-01-07,13:52:43,"23,800",0,2
신한카드,C-26500,체크,2013-01-07,14:03:30,"23,800",0,2
롯데카드,C-01824,일반,2013-01-07,14:19:07,"23,800",0,2
비씨카드,C-05504,체크,2013-01-07,14:23:01,"35,700",0,3
국민카드,C-42241,일반,2013-01-07,14:32:10,"23,800",0,2
농협카드,C-24136,체크,2013-01-07,14:37:27,"23,800",0,2
현대카드,C-43495,일반,2013-01-07,14:52:08,"23,800",0,2
삼성카드,C-02357,일반,2013-01-07,14:57:12,"11,900",0,1
신한카드,C-16536,체크,2013-01-07,15:00:47,"23,800",0,2
롯데카드,C-13024,일반,2013-01-07,15:05:45,"23,800",0,2
외환카드,C-20788,체크,2013-01-07,15:19:23,"11,900",0,1
외환카드,C-16272,체크,2013-01-07,15:19:39,"11,900",0,1
비씨카드,C-03817,일반,2013-01-07,15:20:05,"23,800",0,2
농협카드,C-33981,일반,2013-01-07,15:21:54,"35,700",0,3
비씨카드,C-08600,체크,2013-01-07,15:23:20,"35,700",0,3
국민카드,C-41737,일반,2013-01-07,15:37:00,"23,800",0,2
국민카드,C-16203,체크,2013-01-07,15:43:02,"35,700",0,3
외환카드,C-05131,일반,2013-01-07,17:56:06,"29,800",0,3
신한카드,C-18407,일반,2013-01-07,17:57:23,"29,800",0,3
농협카드,C-39696,체크,2013-01-07,18:09:08,"29,800",0,3
신한카드,C-00658,일반,2013-01-07,18:17:58,"29,800",0,3
신한카드,C-07855,체크,2013-01-07,18:23:48,"29,800",0,3
국민카드,C-16149,체크,2013-01-07,19:14:52,"29,800",0,3
국민카드,C-18890,일반,2013-01-07,19:51:00,"47,700",0,5
농협카드,C-23218,일반,2013-01-07,19:58:14,"29,800",0,3
신한카드,C-09917,일반,2013-01-07,20:02:39,"29,800",0,3
국민카드,C-41752,일반,2013-01-07,20:10:04,"44,700",0,4
국민카드,C-41119,일반,2013-01-07,20:14:29,"29,800",0,3
비씨카드,C-14627,일반,2013-01-07,20:23:07,"44,700",0,4
농협카드,C-23747,일반,2013-01-07,20:42:29,"29,800",0,3
비씨카드,C-29781,체크,2013-01-07,20:48:09,"14,900",0,2
비씨카드,C-29976,체크,2013-01-07,20:48:30,"14,900",0,2
국민카드,C-42147,일반,2013-01-07,20:54:50,"29,800",0,3
국민카드,C-25636,일반,2013-01-07,20:55:54,"29,800",0,3
비씨카드,C-08806,체크,2013-01-07,20:58:06,"38,700",0,4
비씨카드,C-26086,체크,2013-01-07,21:06:08,"29,800",0,3
삼성카드,C-20077,일반,2013-01-07,21:16:55,"29,800",0,3
비씨카드,C-21645,일반,2013-01-07,21:36:22,"34,800",0,3
현대카드,C-03332,일반,2013-01-08,12:47:44,"33,000",0,3
비씨카드,C-21416,일반,2013-01-08,12:48:30,"35,700",0,3
국민카드,C-16258,체크,2013-01-08,12:50:57,"35,700",0,3
비씨카드,C-40660,체크,2013-01-08,12:52:09,"23,800",0,2
현대카드,C-42639,일반,2013-01-08,13:12:17,"20,000",0,2
비씨카드,C-10179,일반,2013-01-08,13:12:48,"35,700",0,3
국민카드,C-33241,일반,2013-01-08,13:24:02,"35,700",0,3
외환카드,C-04778,일반,2013-01-08,13:25:29,"47,600",0,4
비씨카드,C-19428,일반,2013-01-08,13:36:09,"35,700",0,3
비씨카드,C-05188,체크,2013-01-08,13:37:37,"23,800",0,2
외환카드,C-10696,일반,2013-01-08,13:48:09,"23,800",0,2
국민카드,C-42072,일반,2013-01-08,13:55:30,"23,800",0,2
국민카드,C-16051,체크,2013-01-08,14:01:24,"23,800",0,2
비씨카드,C-37146,체크,2013-01-08,14:02:04,"23,800",0,2
국민카드,C-15938,체크,2013-01-08,14:07:35,"23,800",0,2
외환카드,C-16322,체크,2013-01-08,14:08:33,"23,800",0,2
국민카드,C-11000,일반,2013-01-08,14:11:30,"23,800",0,2
농협카드,C-23333,일반,2013-01-08,14:25:18,"11,900",0,1
비씨카드,C-37413,체크,2013-01-08,14:32:44,"38,600",0,4
신한카드,C-09858,일반,2013-01-08,14:34:25,"35,700",0,3
롯데카드,C-18224,일반,2013-01-08,14:50:10,"35,700",0,3
비씨카드,C-37101,체크,2013-01-08,14:50:24,"83,300",0,7
비씨카드,C-06585,일반,2013-01-08,14:52:24,"26,700",0,3
삼성카드,C-32924,일반,2013-01-08,14:54:42,"23,800",0,2
